Ficus Cyathistipula,African Fig Tree,30,60,"An unusual indoor plant, this fig originates from central Africa and has long rounded dark green leaves. Quite quick growing in the right spot in your house and will tolerate lower light levels. Great if you want to grow an indoor tree! Undemanding, provided it is not over-watered."
Aloe Vera,Aloe Vera,10,30,"Noted for its healing properties the Aloe vera plant is very popular in everything from cosmetics to medicinal uses. Apart from this it is also a great houseplant, easy to look after, oxygenates the air and looks great. An easy way to grow fresh air and plasters at the same time!"
Chrysalidocarpus Lutescens,Areca Palm,40,70,"Areca palm. A great value bushy palm for a bright spot. Looking like a large bushy parlour palm the it is a great choice if you need a dense tall specimen. Needing a little more care than the parlour or kentia palm but the result is a magnificent plant."
Peperomia Obtusifolia Golden Gate,Baby Rubber Plant,20,50,"A compact houseplant with glossy, variegated leaves and a growth habit that is bushy in appearance. Spikes of white flowers on red stems appear during the growing season. Particularly ideal for offices or shady spots as they grow well in low or fluorescent lighting."
Chamaedorea Seifrizii,Bamboo Palm,40,70,"As the name suggests this lovely palm has arching cane like stems that resemble bamboo. Very easy to look after and will cope with a wide range of positions."
Ficus Benghalensis,Bengal Fig,30,60,"Not a very well known type of fig, large leaves a little like rubber plant have wonderfully elegant pale green veins that show up beautifully against the dark green of the leaf."
Strelitzia Reginae,Bird of Paradise,40,70,"A truly wonderful plant from South Africa. The flower is well known accross the world for its striking colours and shape. Indoors in a bright spot it will flower for months providing a hard to beat exotic centerpiece!"
Asplenium 'Leslie',Bird's Nest Fern,50,80,"A lush, leathery-leaved unusual fern with lance-shaped fronds, each with a slightly wavy edge. Native to eastern Asia, it commonly grows on tree trunks, cliffs and forests. Although endangered in the wild, it is a popular ornamental houseplant throughout Europe and the United States."
Zamioculcas Zamiifolia 'Raven',Black ZZ Plant,15,40,"Black is not found hardly at all in nature and the breeding of black plants is considered the holy grail of growers all over the world. This ZZ plant is very very close to a true black when the leaves mature. Stunning and very very unusual."
Aechmea 'Blue Rain',Blue Rain Bromeliad,30,60,"A Truly stunning plant, and very very easy to look after. A very long lasting Blue and red flower spike with deep green glossy leaves. A real statement plant."
Nephrolepis Exaltata Bostoniensis,Boston Fern,50,80,"Discovered a century ago in Boston (the name gave it away!) this graceful variation on the sword fern (N. exaltata) has become a common sight in rooms all over the world. It is one of the easiest ferns to grow inside giving a mass of soft foliage all year round."
Stromanthe Triostar,Calathea Triostar,50,80,"Very closely related to the Calatheas this is one of the brightest bold houseplants availlable today. Each leaf is slightly different with the cream, green purple and pink variegation working wonderfully with the bright purple/pink underside."
Aspidistra Elatior,Cast Iron Plant,20,50,"Aspidistra is a Victorian favorite related to the Dracaena and Beaucarnea now making a comeback because, as its common name suggests, it is almost impossible to kill. In the United States of America it's has been known as the Barroom Plant."
Ficus Microcarpa,Chinese Banyan,30,60,"Bizarre bonsai like fig from tropical and sub tropical areas. Succulent like leaves and contorted trunk create a fascinating plant Treat like most indoor figs water when dry over the summer and don't move it from place to place."
Aglaonema Christine,Chinese Evergreen 'Christine',30,60,"Aglaonemas are ideally suited where an attractive foliage display is needed for those shady corners. Large spear shaped leaves are usually decoratively variegated with greys, greens and yellows."
Aglaonema Cutlass,Chinese Evergreen 'Cutlass',30,60,"Another tough Chinese evergreen. Bold markings on the large thin leaves. Good for low light as well as those of us who are a little erratic with watering!"
Pilea Peperomiodes,Chinese Money Plant,30,60,"This is an amazingly interesting plant as it has such unique circular, shiny, dark green leaves. One of the few houseplants made popular by people sharing the young offsetts rather than comercial horticulture. Also called the UFO plant! Grown by us in a biodegradable pot! 2 litre"
Dracaena Compacta,Compact Dragon Tree,20,50,"Super stylish this dracaena is right up to date with modern decor. As the name suggests the dark green leaves are small and grow in tidy, compact profusion around the slow growing branches. A must for the modern room."
Codiaeum 'Iceton',Croton Iceton,40,70,"Looking for a colorful yet stylish plant? This is it, Reds, pinks, yellows and greens adorn this lovely plant. Another plant that really lends itself to tall containers."
Codiaeum Variegatum 'Petra',Croton Petra,40,70,"A well known plant grown in gardens in tropical areas all over the world. A kaleidoscope of colors which change with the age of the leaf adorn this lovely tree. Super choice for bright rooms."
Epipremnum Aureum,Devils Ivy,25,60,"A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant."
Ficus Cyathistipula,African Fig Tree,30,60,"An unusual indoor plant, this fig originates from central Africa and has long rounded dark green leaves. Quite quick growing in the right spot in your house and will tolerate lower light levels. Great if you want to grow an indoor tree! Undemanding, provided it is not over-watered."
Aloe Vera,Aloe Vera,10,30,"Noted for its healing properties the Aloe vera plant is very popular in everything from cosmetics to medicinal uses. Apart from this it is also a great houseplant, easy to look after, oxygenates the air and looks great. An easy way to grow fresh air and plasters at the same time!"
Chrysalidocarpus Lutescens,Areca Palm,40,70,"Areca palm. A great value bushy palm for a bright spot. Looking like a large bushy parlour palm the it is a great choice if you need a dense tall specimen. Needing a little more care than the parlour or kentia palm but the result is a magnificent plant."
Peperomia Obtusifolia Golden Gate,Baby Rubber Plant,20,50,"A compact houseplant with glossy, variegated leaves and a growth habit that is bushy in appearance. Spikes of white flowers on red stems appear during the growing season. Particularly ideal for offices or shady spots as they grow well in low or fluorescent lighting."
Chamaedorea Seifrizii,Bamboo Palm,40,70,"As the name suggests this lovely palm has arching cane like stems that resemble bamboo. Very easy to look after and will cope with a wide range of positions."
Ficus Benghalensis,Bengal Fig,30,60,"Not a very well known type of fig, large leaves a little like rubber plant have wonderfully elegant pale green veins that show up beautifully against the dark green of the leaf."
Strelitzia Reginae,Bird of Paradise,40,70,"A truly wonderful plant from South Africa. The flower is well known accross the world for its striking colours and shape. Indoors in a bright spot it will flower for months providing a hard to beat exotic centerpiece!"
Asplenium 'Leslie',Bird's Nest Fern,50,80,"A lush, leathery-leaved unusual fern with lance-shaped fronds, each with a slightly wavy edge. Native to eastern Asia, it commonly grows on tree trunks, cliffs and forests. Although endangered in the wild, it is a popular ornamental houseplant throughout Europe and the United States."
Zamioculcas Zamiifolia 'Raven',Black ZZ Plant,15,40,"Black is not found hardly at all in nature and the breeding of black plants is considered the holy grail of growers all over the world. This ZZ plant is very very close to a true black when the leaves mature. Stunning and very very unusual."
Aechmea 'Blue Rain',Blue Rain Bromeliad,30,60,"A Truly stunning plant, and very very easy to look after. A very long lasting Blue and red flower spike with deep green glossy leaves. A real statement plant."
Nephrolepis Exaltata Bostoniensis,Boston Fern,50,80,"Discovered a century ago in Boston (the name gave it away!) this graceful variation on the sword fern (N. exaltata) has become a common sight in rooms all over the world. It is one of the easiest ferns to grow inside giving a mass of soft foliage all year round."
Stromanthe Triostar,Calathea Triostar,50,80,"Very closely related to the Calatheas this is one of the brightest bold houseplants availlable today. Each leaf is slightly different with the cream, green purple and pink variegation working wonderfully with the bright purple/pink underside."
Aspidistra Elatior,Cast Iron Plant,20,50,"Aspidistra is a Victorian favorite related to the Dracaena and Beaucarnea now making a comeback because, as its common name suggests, it is almost impossible to kill. In the United States of America it's has been known as the Barroom Plant."
Ficus Microcarpa,Chinese Banyan,30,60,"Bizarre bonsai like fig from tropical and sub tropical areas. Succulent like leaves and contorted trunk create a fascinating plant Treat like most indoor figs water when dry over the summer and don't move it from place to place."
Aglaonema Christine,Chinese Evergreen 'Christine',30,60,"Aglaonemas are ideally suited where an attractive foliage display is needed for those shady corners. Large spear shaped leaves are usually decoratively variegated with greys, greens and yellows."
Aglaonema Cutlass,Chinese Evergreen 'Cutlass',30,60,"Another tough Chinese evergreen. Bold markings on the large thin leaves. Good for low light as well as those of us who are a little erratic with watering!"
Pilea Peperomiodes,Chinese Money Plant,30,60,"This is an amazingly interesting plant as it has such unique circular, shiny, dark green leaves. One of the few houseplants made popular by people sharing the young offsetts rather than comercial horticulture. Also called the UFO plant! Grown by us in a biodegradable pot! 2 litre"
Dracaena Compacta,Compact Dragon Tree,20,50,"Super stylish this dracaena is right up to date with modern decor. As the name suggests the dark green leaves are small and grow in tidy, compact profusion around the slow growing branches. A must for the modern room."
Codiaeum 'Iceton',Croton Iceton,40,70,"Looking for a colorful yet stylish plant? This is it, Reds, pinks, yellows and greens adorn this lovely plant. Another plant that really lends itself to tall containers."
Codiaeum Variegatum 'Petra',Croton Petra,40,70,"A well known plant grown in gardens in tropical areas all over the world. A kaleidoscope of colors which change with the age of the leaf adorn this lovely tree. Super choice for bright rooms."
Epipremnum Aureum,Devils Ivy,25,60,"A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant."